"instance" "vertices" "strategy" "iterations" "guards" "preProcTime(s)" "procTime(s)" "totalTime(s)"
"randsimple-40-4" 40 "Convex Vertices" 1 6 0.2 0.02 0.22
"randsimple-40-25" 40 "Convex Vertices" 1 6 0.19 0.02 0.21
"randsimple-40-24" 40 "Convex Vertices" 1 6 0.19 0.01 0.2
"randsimple-40-18" 40 "Convex Vertices" 3 5 0.2 0.04 0.24
"randsimple-40-12" 40 "Convex Vertices" 2 5 0.21 0.03 0.24
"randsimple-40-30" 40 "Convex Vertices" 3 7 0.2 0.04 0.24
"randsimple-40-6" 40 "Convex Vertices" 2 6 0.2 0.03 0.23
"randsimple-40-8" 40 "Convex Vertices" 2 6 0.2 0.03 0.23
"randsimple-40-21" 40 "Convex Vertices" 2 6 0.2 0.02 0.22
"randsimple-40-15" 40 "Convex Vertices" 3 7 0.21 0.05 0.26
"randsimple-40-5" 40 "Convex Vertices" 2 5 0.2 0.02 0.22
"randsimple-40-22" 40 "Convex Vertices" 4 8 0.19 0.06 0.24
"randsimple-40-20" 40 "Convex Vertices" 4 7 0.2 0.06 0.26
"randsimple-40-11" 40 "Convex Vertices" 1 7 0.2 0.02 0.22
"randsimple-40-3" 40 "Convex Vertices" 2 6 0.19 0.03 0.22
"randsimple-40-13" 40 "Convex Vertices" 1 6 0.2 0.01 0.22
"randsimple-40-17" 40 "Convex Vertices" 5 6 0.19 0.06 0.25
"randsimple-40-26" 40 "Convex Vertices" 1 7 0.19 0.02 0.21
"randsimple-40-23" 40 "Convex Vertices" 6 8 0.19 0.08 0.27
"randsimple-40-2" 40 "Convex Vertices" 3 6 0.19 0.04 0.23
"randsimple-40-9" 40 "Convex Vertices" 3 6 0.2 0.04 0.24
"randsimple-40-1" 40 "Convex Vertices" 2 7 0.19 0.03 0.22
"randsimple-40-27" 40 "Convex Vertices" 3 5 0.18 0.03 0.22
"randsimple-40-7" 40 "Convex Vertices" 2 6 0.19 0.02 0.21
"randsimple-40-28" 40 "Convex Vertices" 2 5 0.2 0.03 0.23
"randsimple-40-26" 40 "Shadow AVPs" 1 7 0.33 0.02 0.35
"randsimple-40-16" 40 "Shadow AVPs" 1 6 0.33 0.02 0.34
"randsimple-40-5" 40 "Shadow AVPs" 1 5 0.35 0.01 0.36
"randsimple-40-28" 40 "Shadow AVPs" 1 5 0.51 0.01 0.52
"randsimple-40-3" 40 "Shadow AVPs" 1 6 0.39 0.01 0.4
"randsimple-40-11" 40 "Shadow AVPs" 1 7 0.39 0.02 0.41
"randsimple-40-6" 40 "Shadow AVPs" 1 6 0.33 0.02 0.35
"randsimple-40-13" 40 "Shadow AVPs" 1 6 0.35 0.02 0.37
"randsimple-40-24" 40 "Shadow AVPs" 1 6 0.32 0.02 0.34
"randsimple-40-2" 40 "Shadow AVPs" 1 6 0.29 0.01 0.3
"randsimple-40-8" 40 "Shadow AVPs" 1 6 0.32 0.01 0.34
"randsimple-40-22" 40 "Shadow AVPs" 1 8 0.29 0.02 0.3
"randsimple-40-12" 40 "Shadow AVPs" 1 5 0.48 0.01 0.5
"randsimple-40-9" 40 "Shadow AVPs" 1 6 0.36 0.01 0.37
"randsimple-40-29" 40 "Shadow AVPs" 1 5 0.35 0.02 0.36
"randsimple-40-19" 40 "Shadow AVPs" 1 5 0.34 0.01 0.35
"randsimple-40-1" 40 "Shadow AVPs" 1 7 0.32 0.02 0.34
"randsimple-40-10" 40 "Shadow AVPs" 1 6 0.32 0.01 0.33
"randsimple-40-30" 40 "Shadow AVPs" 1 7 0.34 0.02 0.35
"randsimple-40-25" 40 "Shadow AVPs" 1 6 0.34 0.02 0.36
"randsimple-40-21" 40 "Shadow AVPs" 1 6 0.41 0.01 0.42
"randsimple-40-14" 40 "Shadow AVPs" 1 6 0.42 0.02 0.44
"randsimple-40-4" 40 "Shadow AVPs" 1 6 0.39 0.02 0.4
"randsimple-40-18" 40 "Shadow AVPs" 1 5 0.4 0.01 0.41
"randsimple-40-23" 40 "Shadow AVPs" 1 8 0.3 0.02 0.32
"randsimple-40-17" 40 "Shadow AVPs" 1 6 0.33 0.02 0.34
"randsimple-40-15" 40 "Shadow AVPs" 1 7 0.37 0.02 0.39
"randsimple-40-27" 40 "Shadow AVPs" 1 5 0.31 0.01 0.32
"randsimple-40-7" 40 "Shadow AVPs" 1 6 0.3 0.02 0.32
"randsimple-40-20" 40 "Shadow AVPs" 1 7 0.35 0.02 0.37
"randsimple-40-14" 40 "Single Vertex" 7 6 0.19 0.09 0.28
"randsimple-40-2" 40 "Single Vertex" 10 6 0.19 0.09 0.28
"randsimple-40-4" 40 "Single Vertex" 6 6 0.2 0.07 0.26
"randsimple-40-27" 40 "Single Vertex" 7 5 0.19 0.05 0.24
"randsimple-40-7" 40 "Single Vertex" 7 6 0.19 0.06 0.25
"randsimple-40-17" 40 "Single Vertex" 9 6 0.19 0.08 0.27
"randsimple-40-22" 40 "Single Vertex" 11 8 0.19 0.14 0.33
"randsimple-40-5" 40 "Single Vertex" 8 5 0.19 0.07 0.26
"randsimple-40-11" 40 "Single Vertex" 6 7 0.2 0.07 0.28
"randsimple-40-24" 40 "Single Vertex" 8 6 0.18 0.06 0.25
"randsimple-40-3" 40 "Single Vertex" 6 6 0.19 0.06 0.26
"randsimple-40-12" 40 "Single Vertex" 6 5 0.2 0.07 0.27
"randsimple-40-8" 40 "Single Vertex" 6 6 0.2 0.06 0.26
"randsimple-40-15" 40 "Single Vertex" 7 7 0.2 0.08 0.28
"randsimple-40-21" 40 "Single Vertex" 5 6 0.2 0.06 0.25
"randsimple-40-6" 40 "Single Vertex" 6 6 0.2 0.08 0.27
"randsimple-40-19" 40 "Single Vertex" 7 5 0.19 0.05 0.24
"randsimple-40-30" 40 "Single Vertex" 9 7 0.19 0.09 0.28
"randsimple-40-23" 40 "Single Vertex" 11 8 0.19 0.11 0.3
"randsimple-40-18" 40 "Single Vertex" 8 5 0.2 0.1 0.29
"randsimple-40-26" 40 "Single Vertex" 7 7 0.19 0.08 0.27
"randsimple-40-25" 40 "Single Vertex" 4 6 0.19 0.04 0.23
